,Parcel ID,Lat,Lng,Property address,Tax rate area,Neighborhood,Lot sq. ft.,Property class,Year built,Square feet,Rooms,Bedrooms,Bathrooms,ZIP code,Median Price(2017),Median $ per Sq. Ft.(2017),Value at Median $ per Sq. Ft.(2017)
12304,462-58-031,37.2719917,-121.8358998,"138 Juneberry CT San Jose, CA 95136",17063,8,5824,0,1976,1741,8.0,4.0,2.0,95136,860000,482,672662.4
12305,462-58-033,37.2721386,-121.8355702,"130 Juneberry CT San Jose, CA 95136",17063,8,6867,0,1976,2209,9.0,4.0,3.0,95136,860000,482,853481.6
12306,462-58-036,37.2721824,-121.8349694,"118 Juneberry CT San Jose, CA 95136",17063,8,6405,0,1976,2352,12.0,5.0,2.5,95136,860000,482,908732.0
12307,462-58-037,37.27219,-121.834758,"114 Juneberry CT San Jose, CA 95136",17063,8,6600,0,1976,2352,12.0,5.0,2.5,95136,860000,482,908732.0
12308,462-58-043,37.2725818,-121.8354176,"121 Juneberry CT San Jose, CA 95136",17063,8,5775,0,1976,1741,8.0,4.0,2.0,95136,860000,482,672662.4
12309,462-53-020,37.2712377,-121.8358338,"150 Sugar Maple Dr San Jose, CA 95136",17063,8,7006,0,1977,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12310,462-58-047,37.2723931,-121.8361783,"137 Juneberry CT San Jose, CA 95136",17063,8,6180,0,1976,1741,8.0,4.0,2.0,95136,860000,482,672662.4
12311,462-58-048,37.2723152,-121.836343,"141 Juneberry CT San Jose, CA 95136",17063,8,5992,0,1976,2025,8.0,4.0,2.0,95136,860000,482,782390.4
12312,462-58-049,37.2722413,-121.8365166,"145 Juneberry CT San Jose, CA 95136",17063,8,6634,0,1976,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12313,462-58-050,37.2725065,-121.8366946,"148 Wolfberry CT San Jose, CA 95136",17063,8,6634,0,1976,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12314,462-58-051,37.2725752,-121.8365344,"144 Wolfberry CT San Jose, CA 95136",17063,8,5992,0,1976,1741,8.0,4.0,2.0,95136,860000,482,672662.4
12315,462-58-052,37.2726316,-121.8363356,"140 Wolfberry CT San Jose, CA 95136",17063,8,6300,0,1976,2209,10.0,4.0,2.5,95136,860000,482,853481.6
12316,462-58-053,37.273064,-121.8366173,"139 Wolfberry CT San Jose, CA 95136",17063,8,6000,0,1976,2352,12.0,5.0,2.5,95136,860000,482,908732.0
12317,462-58-054,37.2729661,-121.836784,"143 Wolfberry CT San Jose, CA 95136",17063,8,6180,0,1976,1741,8.0,4.0,2.0,95136,860000,482,672662.4
12318,462-58-056,37.2731269,-121.8371227,"4253 Rosenbaum Av San Jose, CA 95136",17063,8,6200,0,1976,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12319,462-58-061,37.2733535,-121.8338376,"115 Sweetberry CT San Jose, CA 95136",17063,8,8050,0,1981,1560,6.0,3.0,2.0,95136,860000,482,602730.4
12320,462-58-064,37.2733431,-121.8346825,"135 Sweetberry CT San Jose, CA 95136",17063,8,5850,0,1981,1560,6.0,3.0,2.0,95136,860000,482,602730.4
12321,462-58-065,37.2733155,-121.8349575,"139 Sweetberry CT San Jose, CA 95136",17063,8,5840,0,1981,1560,6.0,3.0,2.0,95136,860000,482,602730.4
12322,462-58-045,37.272531,-121.8358034,"129 Juneberry CT San Jose, CA 95136",17063,8,5610,0,1976,2352,12.0,5.0,2.5,95136,860000,482,908732.0
12323,462-58-069,37.2732764,-121.8358538,"155 Sweetberry CT San Jose, CA 95136",17063,8,6700,0,1979,1741,8.0,4.0,2.0,95136,860000,482,672662.4
12324,462-58-070,37.2732609,-121.8360621,"159 Sweetberry CT San Jose, CA 95136",17063,8,8069,0,1979,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12325,462-58-071,37.27322,-121.8362641,"163 Sweetberry CT San Jose, CA 95136",17063,8,6953,0,1979,1741,8.0,4.0,2.0,95136,860000,482,672662.4
12326,462-58-072,37.2731069,-121.8364253,"167 Sweetberry CT San Jose, CA 95136",17063,8,6963,0,1979,1581,7.0,4.0,2.0,95136,860000,482,610844.0
12327,462-58-075,37.2728461,-121.835761,"154 Sweetberry CT San Jose, CA 95136",17063,8,7837,0,1979,2352,10.0,4.0,2.5,95136,860000,482,908732.0
12328,462-58-076,37.2728584,-121.8355441,"150 Sweetberry CT San Jose, CA 95136",17063,8,6557,0,1979,1741,8.0,4.0,2.0,95136,858000,479,667449.6
12329,462-58-077,37.272887,-121.8353496,"146 Sweetberry CT San Jose, CA 95136",17063,8,5698,0,1979,1581,7.0,4.0,2.0,95136,858000,479,606110.4
